nHM,piPC09,PCD,X2Av,MLOGP,ON1V,N-072,B02[C-N],F04[C-O]
6,0.0,1.27,0.37,6.0,0.59,0,0,0
5,0.0,1.27,0.34,5.87,0.8,0,0,0
6,0.0,0.0,0.47,4.76,0.95,0,0,0
5,0.0,1.27,0.21,3.91,0.6,0,0,1
4,0.0,1.49,0.19,4.0,0.68,0,1,4
3,0.0,1.25,0.21,3.31,0.62,0,0,1
1,0.0,1.47,0.24,0.78,0.97,0,1,6
1,3.7260000000000004,1.21,0.23,2.89,2.07,0,1,0
0,0.0,1.51,0.16,2.24,0.93,0,1,6
1,0.0,1.51,0.16,2.51,0.72,0,1,4
0,0.0,1.51,0.13,1.35,0.73,0,1,5
0,3.8939999999999997,1.63,0.16,2.7,1.83,0,1,11
0,0.0,1.83,0.11,1.54,0.86,0,1,13
1,0.0,1.5,0.18,2.84,0.91,0,1,6
2,0.0,1.5,0.18,3.11,0.7,0,1,4
1,0.0,1.5,0.16,1.97,0.74,0,1,4
3,0.0,1.49,0.19,3.7,0.68,0,1,4
1,6.865,2.23,0.44,5.27,2.4,0,0,9
0,6.29,2.38,0.18,3.68,1.26,0,0,0
0,7.15,3.37,0.16,4.28,1.75,0,1,0
0,5.837000000000001,2.31,0.16,3.13,1.32,0,1,0
0,5.837000000000001,2.31,0.16,3.13,1.29,0,0,3
0,6.188,2.19,0.18,3.42,2.18,0,1,4
0,4.239,1.85,0.15,1.4,0.79,0,1,0
0,2.565,0.0,0.29,4.43,2.28,0,0,0
0,6.136,1.25,0.21,3.56,1.56,0,0,0
0,6.136,2.37,0.16,2.07,0.99,0,1,0
0,3.446,1.52,0.14,1.7,0.89,0,1,5
0,6.29,2.37,0.18,3.68,1.26,0,0,0
1,6.29,2.37,0.18,3.95,1.04,0,0,0
0,0.0,1.17,0.19,2.81,1.86,0,1,0
2,6.477,2.28,0.18,3.59,1.31,0,1,0
0,7.066,2.51,0.17,2.24,2.99,2,1,6
0,0.0,0.0,0.1,1.59,0.45,0,0,0
0,5.732,2.28,0.17,3.88,1.29,0,0,0
0,5.932,2.27,0.16,3.13,1.28,0,0,1
0,6.711,2.5,0.14,2.72,1.16,0,0,6
0,7.17,3.29,0.15,3.92,1.85,1,1,6
1,6.711,2.48,0.2,2.86,1.33,0,1,0
2,6.196000000000001,2.27,0.24,5.2,1.25,0,0,0
0,7.059,3.22,0.17,5.17,1.9,0,0,0
4,0.0,1.26,0.21,3.62,0.61,0,0,1
3,4.343,1.31,0.19,3.2,1.17,0,0,3
3,4.239,1.33,0.19,2.91,0.91,0,0,3
4,0.0,1.26,0.21,3.91,0.77,0,0,1
4,0.0,1.26,0.21,3.91,0.77,0,0,1
1,5.7410000000000005,1.57,0.19,3.77,2.35,0,1,5
3,3.7260000000000004,1.2,0.57,2.72,1.94,0,0,2
4,2.151,1.27,0.19,3.31,0.94,0,0,4
0,5.55,2.32,0.13,1.37,0.89,0,1,4
0,2.89,0.12,0.29,2.46,2.85,1,1,2
1,3.992,1.32,0.18,2.09,1.13,0,0,3
2,3.992,1.32,0.18,2.35,0.92,0,0,3
4,3.555,0.54,0.45,-0.27,1.12,1,1,1
1,0.0,2.08,0.21,1.5,0.78,0,1,0
3,0.0,0.11,0.64,2.68,2.83,0,0,9
0,0.0,1.24,0.21,2.94,1.06,0,0,0
0,0.0,1.24,0.18,1.86,0.86,0,0,1
1,0.0,1.24,0.22,3.21,0.85,0,0,0
2,0.0,1.24,0.22,3.48,0.63,0,0,0
1,0.0,1.24,0.19,2.13,0.68,0,1,0
1,0.0,1.24,0.23,2.3,0.65,0,0,1
1,0.0,1.24,0.19,2.13,0.65,0,0,1
0,0.0,1.24,0.22,3.26,1.26,0,0,0
0,0.0,1.24,0.2,2.19,1.09,0,1,0
1,0.0,1.24,0.2,2.46,0.88,0,1,0
2,0.0,1.24,0.21,2.73,0.66,0,1,0
2,0.0,1.24,0.2,2.73,0.63,0,0,1
0,0.0,1.24,0.2,2.19,1.09,0,1,0
0,0.0,1.24,0.18,1.25,0.92,0,1,0
2,0.0,1.24,0.21,2.73,0.66,0,1,0
4,0.0,1.25,0.24,4.63,0.6,0,0,0
3,0.0,1.25,0.21,3.31,0.62,0,0,1
5,4.931,1.36,0.24,4.46,1.27,0,0,8
3,0.0,0.0,0.63,2.96,0.52,0,0,0
3,0.0,0.0,0.43,2.6,0.52,0,0,0
1,4.7989999999999995,1.24,0.22,2.88,2.71,0,1,11
0,0.0,0.31,0.24,0.59,0.97,0,1,1
1,0.0,0.22,0.23,-0.67,0.67,2,1,0
2,5.904,1.74,0.25,4.75,2.86,1,1,4
1,6.692,2.3,0.24,5.47,3.23,0,0,10
0,0.0,1.22,0.26,3.92,2.18,0,0,4
0,0.0,1.68,0.12,1.43,0.83,0,1,9
0,0.0,1.49,0.14,1.18,0.92,0,1,5
2,6.157,2.3,0.18,3.84,1.44,0,0,4
0,0.0,1.19,0.13,3.37,0.78,0,0,0
1,0.0,1.45,0.24,0.43,0.76,0,1,4
1,0.0,1.2,0.15,3.95,0.76,0,0,0
0,0.0,1.19,0.24,2.81,1.42,0,0,1
0,0.0,1.32,0.22,2.95,1.52,0,0,4
0,0.0,1.2,0.23,3.26,1.36,0,0,0
0,0.0,1.36,0.2,3.17,1.05,0,0,0
3,2.197,0.23,0.42,0.64,2.35,1,1,7
0,0.0,1.5,0.15,1.89,0.73,0,1,4
0,0.0,1.49,0.16,2.24,0.92,0,1,4
2,0.0,1.48,0.17,2.57,0.73,0,1,4
1,6.564,2.37,0.16,3.77,2.28,0,1,3
0,0.0,1.71,0.13,1.89,0.79,0,1,8
0,0.0,1.19,0.21,2.81,1.69,0,0,1
0,0.0,1.49,0.16,2.24,0.92,0,1,4
